job_id,title,category,description,required_skills,experience_level
13,Senior Python Developer,Python Developer,"Lead Python development for high-performance applications. Design system architecture, implement complex business logic, and ensure code quality through reviews and testing. Must have strong experience with Django/FastAPI, PostgreSQL, Docker, Kubernetes, and CI/CD pipelines. Experience with microservices, event-driven architecture, and cloud-native development is essential.","Python,Django,FastAPI,PostgreSQL,Docker,Kubernetes,CI/CD,AWS,REST API,Git,Redis,Apache Kafka,Agile,Leadership",Senior
14,Junior Python Developer,,"Lead Python development for high-performance applications. Design system architecture, implement complex business logic, and ensure code quality through reviews and testing. Must have strong experience with Django/FastAPI, PostgreSQL, Docker, Kubernetes, and CI/CD pipelines. Experience with microservices, event-driven architecture, and cloud-native development is essential. Great opportunity for career growth and learning.","Python,Django,FastAPI,PostgreSQL,Docker,Kubernetes,CI/CD,AWS,REST API,Git,Redis,Apache Kafka,Agile,Leadership",Entry Level
15,Senior Python Developer,,"Lead Python development for high-performance applications. Design system architecture, implement complex business logic, and ensure code quality through reviews and testing. Must have strong experience with Django/FastAPI, PostgreSQL, Docker, Kubernetes, and CI/CD pipelines. Experience with microservices, event-driven architecture, and cloud-native development is essential. Great opportunity for career growth and learning.","Python,Django,FastAPI,PostgreSQL,Docker,Kubernetes,CI/CD,AWS,REST API,Git,Redis,Apache Kafka,Agile,Leadership",Senior
16,Java Software Engineer,Java Developer,"Looking for a Java Software Engineer to develop enterprise-grade applications using Spring Boot ecosystem. You will build microservices, implement REST APIs, and work with relational databases. Strong knowledge of Java 11+, Spring Framework, Hibernate, and Maven/Gradle is required. Experience with Kafka, Docker, and cloud platforms is a plus.","Java,Spring Boot,Hibernate,Maven,REST API,SQL,PostgreSQL,Docker,Git,JUnit,Microservices,Agile",Mid Level
17,Java Software Engineer,,"Looking for a Java Software Engineer to develop enterprise-grade applications using Spring Boot ecosystem. You will build microservices, implement REST APIs, and work with relational databases. Strong knowledge of Java 11+, Spring Framework, Hibernate, and Maven/Gradle is required. Experience with Kafka, Docker, and cloud platforms is a plus. Hybrid work model with flexible hours available.","Java,Spring Boot,Hibernate,Maven,REST API,SQL,PostgreSQL,Docker,Git,JUnit,Microservices,Agile",Mid Level
18,Staff Java Software Engineer,,"Looking for a Java Software Engineer to develop enterprise-grade applications using Spring Boot ecosystem. You will build microservices, implement REST APIs, and work with relational databases. Strong knowledge of Java 11+, Spring Framework, Hibernate, and Maven/Gradle is required. Experience with Kafka, Docker, and cloud platforms is a plus. Hybrid work model with flexible hours available.","Java,Spring Boot,Hibernate,Maven,REST API,SQL,PostgreSQL,Docker,Git,JUnit,Microservices,Agile",Entry Level
19,Senior Java Developer,Java Developer,"Lead the design and development of scalable Java applications. You will architect microservices solutions, mentor developers, and drive technical decision-making. Expert knowledge of Spring Boot, Kafka, Kubernetes, and cloud platforms (AWS/Azure) is required. Experience with performance optimization, distributed systems, and DevOps practices is essential.","Java,Spring Boot,Spring Security,Hibernate,Apache Kafka,Kubernetes,AWS,Docker,PostgreSQL,Oracle,Redis,Microservices,REST API,Leadership",Senior
20,Lead Java Developer,,"Lead the design and development of scalable Java applications. You will architect microservices solutions, mentor developers, and drive technical decision-making. Expert knowledge of Spring Boot, Kafka, Kubernetes, and cloud platforms (AWS/Azure) is required. Experience with performance optimization, distributed systems, and DevOps practices is essential. Great opportunity for career growth and learning.","Java,Spring Boot,Spring Security,Hibernate,Apache Kafka,Kubernetes,AWS,Docker,PostgreSQL,Oracle,Redis,Microservices,REST API,Leadership",Mid Level
21,Senior Java Developer,,"Lead the design and development of scalable Java applications. You will architect microservices solutions, mentor developers, and drive technical decision-making. Expert knowledge of Spring Boot, Kafka, Kubernetes, and cloud platforms (AWS/Azure) is required. Experience with performance optimization, distributed systems, and DevOps practices is essential. Remote-friendly position with competitive benefits.","Java,Spring Boot,Spring Security,Hibernate,Apache Kafka,Kubernetes,AWS,Docker,PostgreSQL,Oracle,Redis,Microservices,REST API,Leadership",Mid Level
22,Frontend Developer,Web Designing,"We need a creative Frontend Developer to build responsive, user-friendly web interfaces. You will work with React/Angular, implement pixel-perfect designs from Figma mockups, and optimize performance. Strong knowledge of HTML5, CSS3, JavaScript, and modern frontend frameworks is required. Experience with TypeScript, Tailwind CSS, and responsive design is preferred.","HTML,CSS,JavaScript,React,TypeScript,Tailwind CSS,Figma,Git,REST API,Responsive Design,Sass,Webpack",Mid Level
23,Lead Frontend Developer,,"We need a creative Frontend Developer to build responsive, user-friendly web interfaces. You will work with React/Angular, implement pixel-perfect designs from Figma mockups, and optimize performance. Strong knowledge of HTML5, CSS3, JavaScript, and modern frontend frameworks is required. Experience with TypeScript, Tailwind CSS, and responsive design is preferred. Join our fast-growing team in this exciting role.","HTML,CSS,JavaScript,React,TypeScript,Tailwind CSS,Figma,Git,REST API,Responsive Design,Sass,Webpack",Mid Level
24,Staff Frontend Developer,,"We need a creative Frontend Developer to build responsive, user-friendly web interfaces. You will work with React/Angular, implement pixel-perfect designs from Figma mockups, and optimize performance. Strong knowledge of HTML5, CSS3, JavaScript, and modern frontend frameworks is required. Experience with TypeScript, Tailwind CSS, and responsive design is preferred. Join our fast-growing team in this exciting role.","HTML,CSS,JavaScript,React,TypeScript,Tailwind CSS,Figma,Git,REST API,Responsive Design,Sass,Webpack",Mid Level
25,Full Stack Web Developer,Web Designing,"Build complete web applications from frontend to backend. Work with React/Next.js on the frontend and Node.js/Express on the backend. Manage MongoDB/PostgreSQL databases and deploy to cloud platforms. Strong knowledge of the entire web development stack, REST APIs, and version control is required.","HTML,CSS,JavaScript,React,Node.js,MongoDB,PostgreSQL,REST API,Git,Docker,TypeScript,Next.js,Tailwind CSS",Mid Level
26,Senior Full Stack Web Developer,,"Build complete web applications from frontend to backend. Work with React/Next.js on the frontend and Node.js/Express on the backend. Manage MongoDB/PostgreSQL databases and deploy to cloud platforms. Strong knowledge of the entire web development stack, REST APIs, and version control is required. Work with cutting-edge technologies in a collaborative environment.","HTML,CSS,JavaScript,React,Node.js,MongoDB,PostgreSQL,REST API,Git,Docker,TypeScript,Next.js,Tailwind CSS",Entry Level
27,Staff Full Stack Web Developer,,"Build complete web applications from frontend to backend. Work with React/Next.js on the frontend and Node.js/Express on the backend. Manage MongoDB/PostgreSQL databases and deploy to cloud platforms. Strong knowledge of the entire web development stack, REST APIs, and version control is required. Hybrid work model with flexible hours available.","HTML,CSS,JavaScript,React,Node.js,MongoDB,PostgreSQL,REST API,Git,Docker,TypeScript,Next.js,Tailwind CSS",Lead
28,DevOps Engineer,DevOps Engineer,"Looking for a DevOps Engineer to build and maintain CI/CD pipelines, manage cloud infrastructure, and improve system reliability. You will work with Docker, Kubernetes, Terraform, and AWS services. Strong Linux administration skills and scripting ability (Python/Bash) are required. Experience with monitoring tools (Prometheus, Grafana) and GitOps practices is preferred.","Docker,Kubernetes,AWS,Terraform,Jenkins,CI/CD,Linux,Python,Shell Scripting,Git,Prometheus,Grafana,Ansible,Nginx",Mid Level
29,Staff DevOps Engineer,,"Looking for a DevOps Engineer to build and maintain CI/CD pipelines, manage cloud infrastructure, and improve system reliability. You will work with Docker, Kubernetes, Terraform, and AWS services. Strong Linux administration skills and scripting ability (Python/Bash) are required. Experience with monitoring tools (Prometheus, Grafana) and GitOps practices is preferred. Hybrid work model with flexible hours available.","Docker,Kubernetes,AWS,Terraform,Jenkins,CI/CD,Linux,Python,Shell Scripting,Git,Prometheus,Grafana,Ansible,Nginx",Lead
30,Lead DevOps Engineer,,"Looking for a DevOps Engineer to build and maintain CI/CD pipelines, manage cloud infrastructure, and improve system reliability. You will work with Docker, Kubernetes, Terraform, and AWS services. Strong Linux administration skills and scripting ability (Python/Bash) are required. Experience with monitoring tools (Prometheus, Grafana) and GitOps practices is preferred. Join our fast-growing team in this exciting role.","Docker,Kubernetes,AWS,Terraform,Jenkins,CI/CD,Linux,Python,Shell Scripting,Git,Prometheus,Grafana,Ansible,Nginx",Senior
31,Senior DevOps Engineer,DevOps Engineer,"Lead infrastructure and DevOps initiatives for large-scale systems. Design highly available architectures, implement security best practices, and drive automation culture. Expert knowledge of Kubernetes, multi-cloud environments, and infrastructure as code is required. You will manage incident response, capacity planning, and disaster recovery strategies.","Docker,Kubernetes,AWS,Azure,GCP,Terraform,Ansible,CI/CD,Linux,Python,Prometheus,Grafana,Helm,Security,Leadership",Senior
32,DevOps Engineer,,"Lead infrastructure and DevOps initiatives for large-scale systems. Design highly available architectures, implement security best practices, and drive automation culture. Expert knowledge of Kubernetes, multi-cloud environments, and infrastructure as code is required. You will manage incident response, capacity planning, and disaster recovery strategies. Work with cutting-edge technologies in a collaborative environment.","Docker,Kubernetes,AWS,Azure,GCP,Terraform,Ansible,CI/CD,Linux,Python,Prometheus,Grafana,Helm,Security,Leadership",Lead
33,Lead DevOps Engineer,,"Lead infrastructure and DevOps initiatives for large-scale systems. Design highly available architectures, implement security best practices, and drive automation culture. Expert knowledge of Kubernetes, multi-cloud environments, and infrastructure as code is required. You will manage incident response, capacity planning, and disaster recovery strategies. Great opportunity for career growth and learning.","Docker,Kubernetes,AWS,Azure,GCP,Terraform,Ansible,CI/CD,Linux,Python,Prometheus,Grafana,Helm,Security,Leadership",Lead
34,Business Analyst,Business Analyst,"We are looking for a Business Analyst to bridge the gap between business stakeholders and technology teams. You will gather requirements, create detailed documentation, and analyze business processes. Strong skills in SQL, Excel, and visualization tools (Tableau/Power BI) are required. Experience with Agile methodology and JIRA is preferred.","SQL,Excel,Tableau,Power BI,JIRA,Communication,Requirements Gathering,Agile,Stakeholder Management,Problem Solving,Data Visualization",Mid Level
35,Lead Business Analyst,,"We are looking for a Business Analyst to bridge the gap between business stakeholders and technology teams. You will gather requirements, create detailed documentation, and analyze business processes. Strong skills in SQL, Excel, and visualization tools (Tableau/Power BI) are required. Experience with Agile methodology and JIRA is preferred. Hybrid work model with flexible hours available.","SQL,Excel,Tableau,Power BI,JIRA,Communication,Requirements Gathering,Agile,Stakeholder Management,Problem Solving,Data Visualization",Entry Level
36,Lead Business Analyst,,"We are looking for a Business Analyst to bridge the gap between business stakeholders and technology teams. You will gather requirements, create detailed documentation, and analyze business processes. Strong skills in SQL, Excel, and visualization tools (Tableau/Power BI) are required. Experience with Agile methodology and JIRA is preferred. Work with cutting-edge technologies in a collaborative environment.","SQL,Excel,Tableau,Power BI,JIRA,Communication,Requirements Gathering,Agile,Stakeholder Management,Problem Solving,Data Visualization",Entry Level
37,Full Stack Developer,Full Stack Developer,"Looking for a Full Stack Developer proficient in both frontend and backend technologies. You will build complete web applications using React/Angular on the frontend and Node.js/Python on the backend. Experience with databases (PostgreSQL, MongoDB), Docker, and cloud deployment is required. Strong understanding of REST APIs, version control, and agile methodologies is essential.","JavaScript,React,Node.js,Python,PostgreSQL,MongoDB,Docker,REST API,Git,HTML,CSS,TypeScript,AWS,Agile",Mid Level
38,Full Stack Developer,,"Looking for a Full Stack Developer proficient in both frontend and backend technologies. You will build complete web applications using React/Angular on the frontend and Node.js/Python on the backend. Experience with databases (PostgreSQL, MongoDB), Docker, and cloud deployment is required. Strong understanding of REST APIs, version control, and agile methodologies is essential. Remote-friendly position with competitive benefits.","JavaScript,React,Node.js,Python,PostgreSQL,MongoDB,Docker,REST API,Git,HTML,CSS,TypeScript,AWS,Agile",Lead
39,Lead Full Stack Developer,,"Looking for a Full Stack Developer proficient in both frontend and backend technologies. You will build complete web applications using React/Angular on the frontend and Node.js/Python on the backend. Experience with databases (PostgreSQL, MongoDB), Docker, and cloud deployment is required. Strong understanding of REST APIs, version control, and agile methodologies is essential. Remote-friendly position with competitive benefits.","JavaScript,React,Node.js,Python,PostgreSQL,MongoDB,Docker,REST API,Git,HTML,CSS,TypeScript,AWS,Agile",Senior
40,Cybersecurity Analyst,Network Security Engineer,"We are seeking a Cybersecurity Analyst to protect our systems and data from security threats. You will conduct vulnerability assessments, monitor security events using SIEM tools, and implement security policies. Knowledge of network security, penetration testing, and incident response is required. Certifications such as CISSP, CEH, or CompTIA Security+ are preferred.","Cybersecurity,Penetration Testing,Firewall,SIEM,Linux,Python,Networking,Encryption,OWASP,Wireshark,IAM,Nmap,SOC",Mid Level
41,Staff Cybersecurity Analyst,,"We are seeking a Cybersecurity Analyst to protect our systems and data from security threats. You will conduct vulnerability assessments, monitor security events using SIEM tools, and implement security policies. Knowledge of network security, penetration testing, and incident response is required. Certifications such as CISSP, CEH, or CompTIA Security+ are preferred. Hybrid work model with flexible hours available.","Cybersecurity,Penetration Testing,Firewall,SIEM,Linux,Python,Networking,Encryption,OWASP,Wireshark,IAM,Nmap,SOC",Entry Level
42,Junior Cybersecurity Analyst,,"We are seeking a Cybersecurity Analyst to protect our systems and data from security threats. You will conduct vulnerability assessments, monitor security events using SIEM tools, and implement security policies. Knowledge of network security, penetration testing, and incident response is required. Certifications such as CISSP, CEH, or CompTIA Security+ are preferred. Hybrid work model with flexible hours available.","Cybersecurity,Penetration Testing,Firewall,SIEM,Linux,Python,Networking,Encryption,OWASP,Wireshark,IAM,Nmap,SOC",Lead
43,Database Administrator,Database Administrator,"Manage and optimize database systems to ensure high performance, availability, and security. You will work with PostgreSQL, MySQL, and Oracle databases, perform backup and recovery operations, and optimize queries. Experience with database monitoring, replication, and cloud database services (AWS RDS, Azure SQL) is required.","PostgreSQL,MySQL,Oracle,SQL,Database,Linux,Python,AWS,Backup,Performance Tuning,Monitoring,Shell Scripting",Mid Level
44,Junior Database Administrator,,"Manage and optimize database systems to ensure high performance, availability, and security. You will work with PostgreSQL, MySQL, and Oracle databases, perform backup and recovery operations, and optimize queries. Experience with database monitoring, replication, and cloud database services (AWS RDS, Azure SQL) is required. Hybrid work model with flexible hours available.","PostgreSQL,MySQL,Oracle,SQL,Database,Linux,Python,AWS,Backup,Performance Tuning,Monitoring,Shell Scripting",Entry Level
45,Lead Database Administrator,,"Manage and optimize database systems to ensure high performance, availability, and security. You will work with PostgreSQL, MySQL, and Oracle databases, perform backup and recovery operations, and optimize queries. Experience with database monitoring, replication, and cloud database services (AWS RDS, Azure SQL) is required. Hybrid work model with flexible hours available.","PostgreSQL,MySQL,Oracle,SQL,Database,Linux,Python,AWS,Backup,Performance Tuning,Monitoring,Shell Scripting",Mid Level
46,QA Automation Engineer,Automation Testing,"Build and maintain automated test frameworks for web and mobile applications. You will write test scripts using Selenium, design test strategies, and integrate tests into CI/CD pipelines. Strong knowledge of testing methodologies, Java/Python, and API testing is required. Experience with Cypress, Appium, and performance testing tools is a plus.","Selenium,Java,Python,Test Automation,API Testing,CI/CD,Git,JIRA,Agile,JUnit,TestNG,REST API,BDD,Performance Testing",Mid Level
47,Staff QA Automation Engineer,,"Build and maintain automated test frameworks for web and mobile applications. You will write test scripts using Selenium, design test strategies, and integrate tests into CI/CD pipelines. Strong knowledge of testing methodologies, Java/Python, and API testing is required. Experience with Cypress, Appium, and performance testing tools is a plus. Join our fast-growing team in this exciting role.","Selenium,Java,Python,Test Automation,API Testing,CI/CD,Git,JIRA,Agile,JUnit,TestNG,REST API,BDD,Performance Testing",Lead
48,Junior QA Automation Engineer,,"Build and maintain automated test frameworks for web and mobile applications. You will write test scripts using Selenium, design test strategies, and integrate tests into CI/CD pipelines. Strong knowledge of testing methodologies, Java/Python, and API testing is required. Experience with Cypress, Appium, and performance testing tools is a plus. Remote-friendly position with competitive benefits.","Selenium,Java,Python,Test Automation,API Testing,CI/CD,Git,JIRA,Agile,JUnit,TestNG,REST API,BDD,Performance Testing",Entry Level
49,Big Data Engineer,Hadoop Developer,"Design and implement big data solutions using Hadoop ecosystem. You will build data pipelines using Spark, Hive, and Kafka, process petabyte-scale datasets, and optimize data workflows. Strong knowledge of distributed computing, SQL, and Python/Scala is required. Experience with cloud data platforms (Snowflake, Databricks) is preferred.","Hadoop,Apache Spark,Hive,Kafka,Python,SQL,Scala,MapReduce,HBase,Data Warehousing,ETL,AWS,Linux",Mid Level
50,Big Data Engineer,,"Design and implement big data solutions using Hadoop ecosystem. You will build data pipelines using Spark, Hive, and Kafka, process petabyte-scale datasets, and optimize data workflows. Strong knowledge of distributed computing, SQL, and Python/Scala is required. Experience with cloud data platforms (Snowflake, Databricks) is preferred. Hybrid work model with flexible hours available.","Hadoop,Apache Spark,Hive,Kafka,Python,SQL,Scala,MapReduce,HBase,Data Warehousing,ETL,AWS,Linux",Senior
51,Big Data Engineer,,"Design and implement big data solutions using Hadoop ecosystem. You will build data pipelines using Spark, Hive, and Kafka, process petabyte-scale datasets, and optimize data workflows. Strong knowledge of distributed computing, SQL, and Python/Scala is required. Experience with cloud data platforms (Snowflake, Databricks) is preferred. Join our fast-growing team in this exciting role.","Hadoop,Apache Spark,Hive,Kafka,Python,SQL,Scala,MapReduce,HBase,Data Warehousing,ETL,AWS,Linux",Mid Level
52,ETL Developer,ETL Developer,"Build and maintain ETL pipelines for data integration and warehousing. You will extract data from multiple sources, transform it according to business rules, and load it into data warehouses. Experience with ETL tools (Informatica, Talend, SSIS), SQL, and Python is required. Knowledge of data modeling and cloud data platforms is preferred.","ETL,SQL,Python,Informatica,Data Warehousing,Apache Spark,Airflow,PostgreSQL,AWS,Shell Scripting,Snowflake",Mid Level
53,Junior ETL Developer,,"Build and maintain ETL pipelines for data integration and warehousing. You will extract data from multiple sources, transform it according to business rules, and load it into data warehouses. Experience with ETL tools (Informatica, Talend, SSIS), SQL, and Python is required. Knowledge of data modeling and cloud data platforms is preferred. Hybrid work model with flexible hours available.","ETL,SQL,Python,Informatica,Data Warehousing,Apache Spark,Airflow,PostgreSQL,AWS,Shell Scripting,Snowflake",Lead
54,Lead ETL Developer,,"Build and maintain ETL pipelines for data integration and warehousing. You will extract data from multiple sources, transform it according to business rules, and load it into data warehouses. Experience with ETL tools (Informatica, Talend, SSIS), SQL, and Python is required. Knowledge of data modeling and cloud data platforms is preferred. Great opportunity for career growth and learning.","ETL,SQL,Python,Informatica,Data Warehousing,Apache Spark,Airflow,PostgreSQL,AWS,Shell Scripting,Snowflake",Mid Level
55,.NET Developer,DotNet Developer,"Develop enterprise applications using .NET framework and C#. You will build web APIs using ASP.NET Core, work with SQL Server databases, and implement microservices architecture. Strong knowledge of C#, .NET Core, Entity Framework, and Azure is required. Experience with CI/CD, Docker, and agile methodologies is preferred.","C#,.NET,ASP.NET,SQL Server,Azure,REST API,Entity Framework,Git,Docker,Agile,Unit Testing,JavaScript,HTML,CSS",Mid Level
56,Junior .NET Developer,,"Develop enterprise applications using .NET framework and C#. You will build web APIs using ASP.NET Core, work with SQL Server databases, and implement microservices architecture. Strong knowledge of C#, .NET Core, Entity Framework, and Azure is required. Experience with CI/CD, Docker, and agile methodologies is preferred. Work with cutting-edge technologies in a collaborative environment.","C#,.NET,ASP.NET,SQL Server,Azure,REST API,Entity Framework,Git,Docker,Agile,Unit Testing,JavaScript,HTML,CSS",Senior
57,Staff .NET Developer,,"Develop enterprise applications using .NET framework and C#. You will build web APIs using ASP.NET Core, work with SQL Server databases, and implement microservices architecture. Strong knowledge of C#, .NET Core, Entity Framework, and Azure is required. Experience with CI/CD, Docker, and agile methodologies is preferred. Remote-friendly position with competitive benefits.","C#,.NET,ASP.NET,SQL Server,Azure,REST API,Entity Framework,Git,Docker,Agile,Unit Testing,JavaScript,HTML,CSS",Senior
58,Blockchain Developer,Blockchain Developer,"Build decentralized applications and smart contracts on Ethereum and other blockchain platforms. You will write Solidity smart contracts, develop Web3 interfaces, and implement DeFi protocols. Strong knowledge of blockchain fundamentals, cryptography, and JavaScript/TypeScript is required. Experience with Hardhat, Truffle, and IPFS is preferred.","Blockchain,Solidity,Ethereum,Web3,JavaScript,Smart Contracts,DeFi,Python,Git,Cryptography,Node.js,TypeScript",Mid Level
59,Blockchain Developer,,"Build decentralized applications and smart contracts on Ethereum and other blockchain platforms. You will write Solidity smart contracts, develop Web3 interfaces, and implement DeFi protocols. Strong knowledge of blockchain fundamentals, cryptography, and JavaScript/TypeScript is required. Experience with Hardhat, Truffle, and IPFS is preferred. Great opportunity for career growth and learning.","Blockchain,Solidity,Ethereum,Web3,JavaScript,Smart Contracts,DeFi,Python,Git,Cryptography,Node.js,TypeScript",Senior
60,Staff Blockchain Developer,,"Build decentralized applications and smart contracts on Ethereum and other blockchain platforms. You will write Solidity smart contracts, develop Web3 interfaces, and implement DeFi protocols. Strong knowledge of blockchain fundamentals, cryptography, and JavaScript/TypeScript is required. Experience with Hardhat, Truffle, and IPFS is preferred. Work with cutting-edge technologies in a collaborative environment.","Blockchain,Solidity,Ethereum,Web3,JavaScript,Smart Contracts,DeFi,Python,Git,Cryptography,Node.js,TypeScript",Entry Level
61,Software Test Engineer,Testing,"Ensure software quality through comprehensive manual and automated testing. You will create test plans, execute test cases, report defects, and collaborate with development teams. Knowledge of testing methodologies, SDLC, and defect tracking tools is required. Experience with Selenium, API testing, and Agile practices is preferred.","Manual Testing,Test Automation,Selenium,API Testing,JIRA,SQL,Agile,Unit Testing,Performance Testing,Communication,Problem Solving",Mid Level
62,Lead Software Test Engineer,,"Ensure software quality through comprehensive manual and automated testing. You will create test plans, execute test cases, report defects, and collaborate with development teams. Knowledge of testing methodologies, SDLC, and defect tracking tools is required. Experience with Selenium, API testing, and Agile practices is preferred. Hybrid work model with flexible hours available.","Manual Testing,Test Automation,Selenium,API Testing,JIRA,SQL,Agile,Unit Testing,Performance Testing,Communication,Problem Solving",Senior
63,Lead Software Test Engineer,,"Ensure software quality through comprehensive manual and automated testing. You will create test plans, execute test cases, report defects, and collaborate with development teams. Knowledge of testing methodologies, SDLC, and defect tracking tools is required. Experience with Selenium, API testing, and Agile practices is preferred. Remote-friendly position with competitive benefits.","Manual Testing,Test Automation,Selenium,API Testing,JIRA,SQL,Agile,Unit Testing,Performance Testing,Communication,Problem Solving",Mid Level
64,SAP Technical Consultant,SAP Developer,"Configure and customize SAP modules to meet business requirements. You will develop ABAP programs, create reports, and support SAP implementations. Strong knowledge of SAP ERP, ABAP programming, and database concepts is required. Experience with SAP HANA, Fiori, and integration technologies is preferred.","SAP,Oracle,SQL,ABAP,SAP HANA,Communication,Problem Solving,Project Management,Agile",Mid Level
